property_name,rent,rent_tax_classification,station_route,station_name,station_near,floor,size_in_tsubo,address,current_status,property_id,property_site,detail_link,detail_contact,image_src,first_published_date
清水惣ビル,"220,000",税抜,山手線,秋葉原,6,地下1階,20.82,東京都千代田区神田須田町 2丁目17番地13号,,17-1122-013,テンポイノベーション,https://www.i-tenpo.com/t46643,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=Aw%2FlaxBSYhHageAG%2FqJfx3l9sPUtOqwXwtNd4Ekodof25fdulcRijgn9MULvuL4o0CL4VX9%2B1f51dNcE%2F%2FV5WwVAv9lqsIFyHKxe%2FfqyzbN4sLH3ni9FqdDTs4G%2F7Srg01aQ8o9g0rHwWsG38%2Fg%2BjpNURS5bQcB1mDhIMMmUMDU%3D,2024-07-05
アドウェル代々木 105,"77,273",税抜,小田急小田原線,南新宿,3,1階,6.95,東京都渋谷区代々木 2丁目36番地10号,,24-0705-001,テンポイノベーション,https://www.i-tenpo.com/t87153,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=JqrMdGYDur56CA%2Be9M2yh92D7w0DKqezg5PetHg%2FL5z9LWn15vk6%2Bqm2he9KFMy6KYbGeuI7jpNW19KnV%2Fo%2FZf6EGp4AML2tfi7MjhzEQO%2FbnmACpwP1r1qPMyVwr0byl%2FuCK3kNvwEcvWY7dlwpmmBuyATzhTxO5JYHARSpGc8%3D,2024-07-05
ザ・プラザオーベル白山 203,"270,000",税抜,南北線,本駒込,2,2階,19.95,東京都文京区向丘 1丁目10番地2号,,24-0704-015,テンポイノベーション,https://www.i-tenpo.com/t87151,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=HXzl5t6yF3bPvRCRyH2Fjif80d7XXkB7nUy61I5ui3BI8wLlZP1S2SU6PVb4QdhMTz4iiHKvQVs7Oe42aN8AK9T8ghr4Vb8bbFJypTRWVLkTD0PGx3W5DEveK95tzRgcn4ZN2Rp9GFmfXaxtcseYf%2Bplu22ozz26xsuIADh9lcM%3D,2024-07-05
AUBE新川ビル 601号室,"181,035",税抜,京葉線,八丁堀,2,6階,13.41,東京都中央区新川 2丁目18番地10号,,24-0704-014,テンポイノベーション,https://www.i-tenpo.com/t87150,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=cUkE9D0kCq19gZqOs8rHZBM97tknShCltRzArrdt6L5dSS%2B3ynYdi7v5pfj36oGCzn71kZzfvuh9O6xCFPaV7Nm%2FwvU1jTvk9yEFszQ3T9QRDbz0RLuz7gsJAUa70%2BR%2FFw2Y5N8Z0e4PDJhGSK4cgjay3lY%2FSSJ%2FD9fAtwTGB2o%3D,2024-07-05
扶桑ビル,"240,000",税抜,京浜東北・根岸線,蒲田,2,6階,19.56,東京都大田区西蒲田 7丁目27番地7号,,16-0818-011,テンポイノベーション,https://www.i-tenpo.com/t36026,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=z80g3%2FV1GYjPFVWElfn69pWoo0nDfMe%2BKi2MVwxBRFZqMJ6IBT5oR2C5cqRQ3KSVLAIN9wcawY%2FtlTigx4IU0RTUJL31bW1%2Bz6diSzOOIUpPOlOhIXxju83Oq6YrnTm2SJlFeNCe6psqydzNmg5cKcwcmiHl3gn5XQgfW7NmQ68%3D,2024-07-05
天翔大塚駅前ビル D号室,"170,000",税抜,山手線,大塚,2,1階-2階,6,東京都豊島区南大塚 1丁目60番地20号,カレー,24-0621-001,テンポイノベーション,https://www.i-tenpo.com/t87009,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=bCQgwOCG8LRUy5Y6m08LxcB6D2j7D%2BH0nh8beVfzEy8%2BV29klHyUJPfmEc3%2FpwDO96cenRGEaaZf6KLTXGAPqi3rw2aWJ8Cq%2Ba%2F1yGJqB5zr03vICQnCQyitED9TD2Aloe5AqZC19XLuycKeLJCnk0vCk5jDPuTQ3AdSIQ1%2Fdew%3D,2024-07-05
有楽町金田ビル 8階,"780,000",税抜,山手線,有楽町,3,8階,22.4,東京都千代田区有楽町 1丁目2番地7号,,24-0213-008,テンポイノベーション,https://www.i-tenpo.com/t85055,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=10yG%2FTnUW2G8OfYzSKM0Tyz1F2oSimflMwvhZ8DIDl%2F4jMWy40dUJKLZzS3Fwr9YgWK9ogy%2FRSCbgskluC%2B1E4GflqDL79yLxcb66oMBU8sYWW02avyyynsPz6cVmepHl8R5a%2FUNYbJVlxSW8DTqSL9OFACvfJKJoA8a4gUcNCI%3D,2024-07-05
有楽町金田ビル 4階,"780,000",税抜,山手線,有楽町,3,4階,22.4,東京都千代田区有楽町 1丁目2番地7号,,24-0213-004,テンポイノベーション,https://www.i-tenpo.com/t85051,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=%2Fu2dNGU2x8dBmcq88IUn1FCoaaDkdrLXQ1FotXg82usADl3nJjiC3Gp9R%2FzbZa5Ka9xWeR%2BwDkQQhqczJwBna6jxBFEq9thLq4wRI7TQbw5rWx8c%2B2DlRVuxeVjRxSCfqcdseEq2n7hJ11E3%2FC9qk%2BlfDXqM3yB2u4ZlxQtdqAQ%3D,2024-07-05
有楽町金田ビル 2階,"880,000",税抜,山手線,有楽町,3,2階,22.4,東京都千代田区有楽町 1丁目2番地7号,,24-0213-003,テンポイノベーション,https://www.i-tenpo.com/t85050,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=j6%2Bodc0CmlhE%2BDnnomTQCEKNtdkt7Gp46vkV%2F4OGr4drnbnbooxShgVqDox6inGGiaz%2FOguZSQc3Mh5bzMP7oJMWt%2B9%2BR%2FDBAXrIjDOKjBJcO6h6fGA2ZcTlgI2rXcO1sfW9gAoykIqQQMtgtb75JiTwn%2BTosBTPmVBVhkq%2Bqwk%3D,2024-07-05
第二亀谷ビル,"399,000",税抜,東西線,竹橋,6,1階,28.5,東京都千代田区神田錦町 2丁目5番地4号,,24-0704-012,テンポイノベーション,https://www.i-tenpo.com/t87148,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=P3cwmzQeKWfpX8pCbM1olCSxt%2BQZbfXr3j1yT6f%2B9RKDPAG5WG1ZoPg0EP%2Fi0jKJ732Ki%2BEexT8ICRV8VnRBJXQNnf1cqw0wRuI7W4iaOx%2BsGHXiPOR5sUFybcsg0XhyHkEK7az15KoJY9sqwGD1BHIbHy%2BDrsT%2F8LahjD5xTYI%3D,2024-07-05
四つ木1階店舗,"300,000",税抜,京成押上線,四ツ木,6,1階,20.51,東京都葛飾区四つ木 1丁目33番地5号,,24-0704-013,テンポイノベーション,https://www.i-tenpo.com/t87149,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=OCBJEouxiK5jld%2BtGbs8hvdUHucHvUlpmSyvZkJtfjsSiGx3QvGtF%2FZCqHTT4jbXBlqnV0loa%2FivYer8DlhUla0Fss9fB0d5e3E1FRgr5yekIncX%2BqIa%2BaRCBJvoiZML4ahfu9ZnKh%2FnajbNEN7LUASSQxbaw2AwnV7Mif8qlt0%3D,2024-07-05
ニュー浜町ダイヤマンション,"181,819",税抜,都営新宿線,浜町,4,1階,4.54,東京都中央区日本橋浜町 2丁目24番地8号,,24-0704-009,テンポイノベーション,https://www.i-tenpo.com/t87145,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=eId9YcwkWnBWKwffJRnC9KgdDAM%2F42lBdFtIxjL%2BepUSCq7VOl6RtVbL6ANVtq2Z%2F5FRv37%2BVEEvrEfwbza3S99OmfWhOnj%2BLTeYYdFlutzK4qa1R3eAU8d1yZLawgNfo3Vf7CdsVRU%2F0ZjQwAOFxXZwNTx5X5ZkVV6Re3bkqMY%3D,2024-07-05
（仮称）Sハウス,"1,636,364",税抜,常磐線,北千住,2,1階-2階,18.5,東京都足立区千住 2丁目55番地,物販店,24-0704-011,テンポイノベーション,https://www.i-tenpo.com/t87147,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=n8FikIzZyMsG7zB2oBwIeq%2FEDxzk%2BSTjD0j5oh%2BQX6kfLve%2Fj3CRblUYOXmcV%2BYGoeJF9y8r4iZWboILv3Uyni3frCecXacwHLFsANU6ZXHKTD8VpVddJI4CTcZcMFbmUH2YeexKxscTpO61ztIywwBrXZKcH%2FbV027KarDziLk%3D,2024-07-05
オカバ梅島ビル,"1,050,000",税抜,東武伊勢崎線,梅島,5,1階,59.08,東京都足立区梅島 3丁目3番地33号,,24-0704-010,テンポイノベーション,https://www.i-tenpo.com/t87146,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=qrNAExUbaGzJDJ4DfQg%2FTtp6hJFxQTZbiRwzuZWlyEzmanVSSJ0KITrNVd4oYNqVU0cdaOgKOn%2FWXbjNf9e%2BMwNt4mghg9pgt0DrjvO%2Bfax2BPH9sN%2F2By5wBj4hZ56ZjPIxG6mePtirfHUoqYwXZLZmZUp%2FbChbXuLorjc1It8%3D,2024-07-05
エクセレント三崎町 101号室,"200,000",税抜,中央線,八王子,6,1階,10.83,東京都八王子市三崎町 9番地12号,バー,24-0311-006,テンポイノベーション,https://www.i-tenpo.com/t85340,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=dp3hN9gVh0pYsOaJ%2BAknQ8T%2BpNa6D0bPDbt5W%2F2Hk%2B4RwJDtaWLcIsy7RdYh15Bb%2FlGoxpfD9uX1RCxq7KbZo%2FA0dxhvwqRoPdBBXXpNYNTL%2F9rZ1PcHJ1kp2T5E3UyW%2FHoLwhegnfthsWc5ADpxAeuQ7PItyW3K%2Fw%2F1AUSG5PE%3D,2024-07-05
鶴見フーガ2 406,"193,000",税抜,京浜東北・根岸線,鶴見,1,4階,10.21,神奈川県横浜市鶴見区豊岡町 2番地2号,お好み焼き,24-0304-014,テンポイノベーション,https://www.i-tenpo.com/t85259,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=XSUioMgsxAb0GZTPIMRZ2G99LNCSMmnHU2ZtNuW%2FAqNic%2BksNmn9tal%2BZmTjLYkaDJ1FwOZ82Dlmk071rWWmVd2U%2FstIFIlHf%2F6fPXJBOd%2B4GHIMjpkv7Qsc2tt4B9C5X9c7EMvxOUeQV4w6CAMF4yjUVrbxu9mCICTg6pmX7YY%3D,2024-07-05
ブリックタウン⼩林 208号室,"350,000",税抜,東急池上線,池上,1,2階,20.46,東京都大田区池上 6丁目4番地18号,,24-0531-007,テンポイノベーション,https://www.i-tenpo.com/t86617,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=yLwI%2FghG43UrnuNKJiKZqMPtNuoDMyEVj8AEBUmOO8lKuzR56KP7Xv%2Bvjr8jj4SvSRYq%2FPIdFgAd5l13SVp805dL8dflxBTgQnWZS7IszcC%2Fousf2gsyQUzIT3ejXZSKvZiqQIwMbYVlnHMM%2FOGQZJKwIgXlWfFj0aQ%2FPfc%2Fv1s%3D,2024-07-05
⻄新井栄町1丁⽬貸店舗付き住宅,"100,000",税抜,東武伊勢崎線,西新井,3,1階-2階,23.21,東京都足立区西新井栄町 1丁目12番地5号,,24-0704-007,テンポイノベーション,https://www.i-tenpo.com/t87143,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=afTu9eNtrq8XH2EmPSN6ohNtCBzL2lQxLGvGpGGfxwrGR29Eq4FvZ5ghnaDhuLhUqgadvq1CReSTd8v7q1wuStyHKbwzb4dcR8lwK2ZXMP8DN8JSKNKbCKv2tRY9wrfF29nIemqW1ecRZbcsQWYO2g%3D%3D,2024-07-05
MSビル 101号室,"250,000",税抜,京浜東北・根岸線,大森,2,1階,9.27,東京都品川区南大井 6丁目28番地1号,,22-1206-001,テンポイノベーション,https://www.i-tenpo.com/t80021,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=vA%2F0D6zmojE8vHMXb12sC8uycqGkMKKDFJonTZdG1Pqq9kFZTD8d%2FFy3xLurl4UUzoswkMJV9IHijscV6Cmo7S6wQS4xCQkwJ3W4SUrhC86CsQzckip4bYaAma3MFlYsD1%2FdxO6FomHYE7YPsu%2Bz0A%3D%3D,2024-07-05
1015 YOKOHAMA,"350,000",税抜,京浜東北・根岸線,横浜,5,3階,10.34,神奈川県横浜市西区南幸 2丁目8番地11号,,24-0704-008,テンポイノベーション,https://www.i-tenpo.com/t87144,詳細リンクより問い合わせください,https://img.i-tenpo.com/loader/tenpo/get?target=AakOkqs5P99%2FxveMHuiiuH6wLVA3E%2FuFZ21gbwIhoEPfqbbO7MxvT2CmByst5YheMOS2FLuag4DqIip1c%2FNSxXHKDMy0Sfpejb4nfF4C7GTUpG%2BtFWXxmop5LsyIGsRQCxX5vybdDHwNz2l1vzDvAxdR8Ie1Og1uP4yBEBfXGZg%3D,2024-07-05
